cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,component_id,sum_kzt_in,sum_kzt_out,n_cycles,n_consolidator,n_transit,n_distributor,n_terminal,n_coordinator,n_peripheral
0,270,1,10178044,100000002578405100;100000001697501100;100000001166289100;100000002733905100;100000005342513100,"Кластер 0 (270 узлов, 1 seed) с внутренним оборотом 10.2 млн KZT и 3 распределителями без внешних входов/выходов выглядит как изолированный контур перераспределения и возвратных циклов через веера gid 100000002578405100 и 100000001697501100 — признаки внутрисетевого прогона.",1,0,0,8,0,3,3,0,0,264
1,259,1,29273837,100000000437046100;100000002398779100;100000008477350100;100000004299488100;100000004759121100,"Кластер 1 (259 узлов, 1 seed) с 29.3 млн KZT внутри, 9 консолидами и 10 координаторами напоминает разветвлённый узелный центр с активной маршрутизацией через gid 100000000437046100 и сбором средств на gid 100000002398779100 — признаки комплексного хаба сети.",0,5177693,6819889,191,9,18,0,13,10,209
2,154,5,19921490,100000007908818100;100000008165763100;100000008111003100;100000003249054100;100000008304139100,"Кластер 2 (154 узла, 5 seed) при 19.9 млн KZT внутри и 3 консолидами похож на ячейку сбора средств с нескольких seed (в т.ч. через gid 100000007908818100) и быстрым транзитным перегоном через gid 100000008165763100 — признаки общего сборщика с последующим выводом.",0,4106857,4813007,23,3,8,1,17,3,122
3,152,1,31876821,100000002838861100;100000002718366100;100000004997515100;100000008489922100;100000002547110100,"Кластер 3 (152 узла, 1 seed) с крупным внутренним оборотом 31.9 млн KZT и 5 консолидами выглядит как контур накопления (gid 100000002718366100, 100000002547110100 удерживают до 100% поступлений) с последующей ограниченной раздачей — признаки центрального накопительного звена.",0,2142953,3464581,12,5,6,2,24,4,111
4,134,7,20027462,100000006518161100;100000008144528100;100000005287097100;100000004707703100;100000002939838100,"Кластер 4 (134 узла, 7 seed) при 20.0 млн KZT внутри и доминировании транзитных/координирующих ролей напоминает цепочку ускоренного прогона между несколькими seed с частичной фиксацией на терминалах gid 100000008144528100 и 100000002939838100 — признаки транзитно-выводного контура.",0,1225371,897480,25,0,8,0,11,3,112
5,132,0,16817084,100000008603629100;100000001857829100;100000005527892100;100000004679953100;100000002704875100,"Кластер 5 (132 узла, 0 seed) с 16.8 млн KZT внутри и сильной координацией (gid 100000008603629100, 100000001857829100) напоминает распределительный хаб без видимого входа от seed, где собранные извне суммы (2.9 млн входа) могут веерно расходиться на терминалы — признаки автономной платёжной ячейки.",0,2914516,4307593,28,0,5,2,6,5,114
6,129,0,24974250,100000000331309100;100000006889963100;100000006734214100;100000003741418100;100000008560717100,"Кластер 6 (129 узлов, 0 seed, 25.0 млн KZT внутри) с мощным координатором gid 100000000331309100 и 5 консолидами с минимальной раздачей выглядит как многоуровневая схема накопления и дозированного вывода (5.6 млн KZT) — признаки скрытого центра обработки потоков.",0,3979680,5649010,12,5,5,1,12,1,105
7,106,4,16242879,100000004015047100;100000005514161100;100000005782781100;100000006788200100;100000002894076100,"Кластер 7 (106 узлов, 4 seed) при 16.2 млн KZT внутри и консолидации от нескольких seed на gid 100000004015047100 и 100000005514161100 с ограниченным последующим выводом напоминает ячейку общего сбора с частичным размещением на терминале gid 100000002894076100 — признаки накопительно-распределительного звена.",0,1923622,1071317,12,3,6,2,8,1,86
8,106,0,6254195,100000007998965100;100000005578559100;100000008104567100;100000005704413100;100000004569484100,"Кластер 8 (106 узлов, 0 seed, 6.3 млн KZT внутри) без явных внешних потоков, но с единичной консолидацией (gid 100000007998965100) и активным координированием/веерами (gid 100000005578559100, 100000005704413100) может представлять локальный контур мелкого распределения — признаки слабоструктурированного платёжного узла.",0,402247,573265,6,1,2,2,1,4,96
9,53,1,3021863,100000001899164100;100000003265158100;100000002193259100;100000008636603100;100000002679516100,"Кластер 9 (53 узла, 1 seed) с 3.0 млн KZT внутри и 4 транзитами при небольших внешних входах/выходах выглядит как компактная цепочка ускоренного прогона через транзит gid 100000003265158100 с частичной фиксацией на терминале gid 100000002679516100 — признаки локального транзитного плеча.",0,280118,209596,6,0,4,1,2,1,45
10,53,1,5947339,100000003115284100;100000003635170100;100000001463701100;100000003390036100;100000003360542100,"Кластер 10 (53 узла, 1 seed) с существенным внутренним оборотом 5,9 млн KZT при умеренном входе/выходе выглядит как контур прогона и частичной консолидации средств вокруг узлов 100000003115284100 и 100000003635170100 — признаки внутрибанковского «отмыва» для проверки.",0,2121459,615680,9,1,6,0,3,1,42
11,51,0,13990812,100000005242320100;100000001282143100;100000002956769100;100000002443664100;100000001584286100,"Кластер 11 (51 узел, без seed) с крупным внутренним оборотом 14,0 млн KZT и 1 distributor 100000005242320100 на 8,9 млн KZT, при 17 terminal (в т.ч. 100000001282143100), демонстрирует признаки раздачи средств вниз по сети к конечным получателям — гипотеза о выплатном/обналичивающем звене.",0,1663545,1246800,0,0,0,1,17,0,33
12,50,3,4135421,100000008346837100;100000005074393100;100000008733194100;100000001236706100;100000000489417100,"Кластер 12 (50 узлов, 3 seed) с умеренным входом 787 тыс KZT и внутренним оборотом 4,1 млн KZT сформирован вокруг координатора 100000008346837100 и транзитного узла 100000005074393100, что даёт признаки многоканального прогона средств от seed через связующий центр.",0,787305,380817,4,0,5,0,2,1,42
13,44,0,10215969,100000005933757100;100000004159526100;100000002605308100;100000001904863100;100000004905207100,"Кластер 13 (44 узла, без seed) имеет несоразмерно большой внутренний оборот 10,2 млн KZT при небольшом внешнем входе/выходе, с координацией через 100000005933757100 и крупным terminal 100000002605308100 — признаки замкнутого контура с накоплением у конечных получателей.",0,243701,527149,2,1,0,0,3,1,39
14,41,0,5151924,100000003242289100;100000008512552100;100000006225798100;100000003964910100;100000008413748100,"Кластер 14 (41 узел, без seed) с внутренним оборотом 5,2 млн KZT и двумя координаторами 100000003242289100 и 100000008512552100 плюс distributor 100000008413748100 (веер на 1,4 млн) демонстрирует признаки управляемого распределения средств по сети с несколькими центрами управления.",0,919297,661478,9,0,0,1,3,2,35
